cve_ent|year|month|homicides|pop_est|homicide_rate
01|2019|1|0|1186074.1173956024|0
01|2019|2|8|1186074.1173956024|8.798534705933191
01|2019|3|9|1186074.1173956024|8.940446556028887
01|2019|4|7|1186074.1173956024|7.18547000984544
01|2019|5|8|1186074.1173956024|7.947063605359011
01|2019|6|11|1186074.1173956024|11.291452872614261
01|2019|7|8|1186074.1173956024|7.947063605359011
01|2019|8|1|1186074.1173956024|0.9933829506698764
01|2019|9|12|1186074.1173956024|12.317948588306466
01|2019|10|15|1186074.1173956024|14.900744260048146
01|2019|11|8|1186074.1173956024|8.211965725537645
01|2019|12|8|1186074.1173956024|7.947063605359011
01|2020|1|6|1186193.3833925056|5.959698424966229
01|2020|2|12|1186193.3833925056|13.196475083853793
01|2020|3|7|1186193.3833925056|6.952981495793934
01|2020|4|4|1186193.3833925056|4.105570026087847
01|2020|5|10|1186193.3833925056|9.932830708277049
01|2020|6|9|1186193.3833925056|9.237532558697655
01|2020|7|9|1186193.3833925056|8.939547637449344
01|2020|8|9|1186193.3833925056|8.939547637449344
01|2020|9|4|1186193.3833925056|4.105570026087847
01|2020|10|4|1186193.3833925056|3.97313228331082
01|2020|11|7|1186193.3833925056|7.184747545653732
01|2020|12|2|1186193.3833925056|1.98656614165541
01|2021|1|6|1186312.3212995944|5.959100914475257
01|2021|2|5|1186312.3212995944|5.497980010378957
01|2021|3|9|1186312.3212995944|8.938651371712886
01|2021|4|12|1186312.3212995944|12.315475223248864
01|2021|5|7|1186312.3212995944|6.952284400221133
01|2021|6|9|1186312.3212995944|9.236606417436649
01|2021|7|8|1186312.3212995944|7.945467885967009
01|2021|8|12|1186312.3212995944|11.918201828950513
01|2021|9|4|1186312.3212995944|4.105158407749622
01|2021|10|9|1186312.3212995944|8.938651371712886
01|2021|11|8|1186312.3212995944|8.210316815499244
01|2021|12|9|1186312.3212995944|8.938651371712886
01|2022|1|7|1186431.4232515905|6.9515864832352285
01|2022|2|7|1186431.4232515905|7.696399320724717
01|2022|3|6|1186431.4232515905|5.95850269991591
01|2022|4|2|1186431.4232515905|2.0523731521932582
01|2022|5|5|1186431.4232515905|4.965418916596592
01|2022|6|8|1186431.4232515905|8.209492608773033
01|2022|7|8|1186431.4232515905|7.944670266554547
01|2022|8|9|1186431.4232515905|8.937754049873865
01|2022|9|8|1186431.4232515905|8.209492608773033
01|2022|10|10|1186431.4232515905|9.930837833193184
01|2022|11|7|1186431.4232515905|7.183306032676403
01|2022|12|6|1186431.4232515905|5.95850269991591
02|2000|1|59|2487492.2245222633|27.945945677878836
02|2000|2|38|2487492.2245222633|19.927556905896655
02|2000|3|32|2487492.2245222633|15.157123079527503
02|2000|4|22|2487492.2245222633|10.767872854414332
02|2000|5|41|2487492.2245222633|19.420063945644618
02|2000|6|31|2487492.2245222633|15.172911749402013
02|2000|7|35|2487492.2245222633|16.578103368233208
02|2000|8|39|2487492.2245222633|18.472743753174147
02|2000|9|26|2487492.2245222633|12.7256679188533
02|2000|10|36|2487492.2245222633|17.051763464468443
02|2000|11|33|2487492.2245222633|16.1518092816215
02|2000|12|36|2487492.2245222633|17.051763464468443
02|2001|1|15|2487823.8842923064|7.103954266361429
02|2001|2|25|2487823.8842923064|13.108487039119305
02|2001|3|41|2487823.8842923064|19.41747499472124
02|2001|4|37|2487823.8842923064|18.107190096703466
02|2001|5|45|2487823.8842923064|21.311862799084288
02|2001|6|40|2487823.8842923064|19.57534064508483
02|2001|7|31|2487823.8842923064|14.681505483813622
02|2001|8|31|2487823.8842923064|14.681505483813622
02|2001|9|49|2487823.8842923064|23.979792290228914
02|2001|10|25|2487823.8842923064|11.839923777269048
02|2001|11|41|2487823.8842923064|20.06472416121195
02|2001|12|26|2487823.8842923064|12.31352072835981
02|2002|1|42|2488156.0015035267|19.88841690033301
02|2002|2|38|2488156.0015035267|19.92224073859888
02|2002|3|36|2488156.0015035267|17.04721448599972
02|2002|4|34|2488156.0015035267|16.636818581707136
02|2002|5|32|2488156.0015035267|15.153079543110863
02|2002|6|38|2488156.0015035267|18.594091356025622
02|2002|7|51|2488156.0015035267|24.15022052183294
02|2002|8|25|2488156.0015035267|11.838343393055363
02|2002|9|23|2488156.0015035267|11.254318452331297
02|2002|10|40|2488156.0015035267|18.94134942888858
02|2002|11|33|2488156.0015035267|16.147500388127515
02|2002|12|42|2488156.0015035267|19.88841690033301
02|2003|1|29|2488488.118714747|13.730645579591567
02|2003|2|34|2488488.118714747|17.822783794198905
02|2003|3|34|2488488.118714747|16.097998265728044
02|2003|4|32|2488488.118714747|15.656092430982568
02|2003|5|45|2488488.118714747|21.306174175228296
02|2003|6|32|2488488.118714747|15.656092430982568
02|2003|7|53|2488488.118714747|25.09393847304666
02|2003|8|38|2488488.118714747|17.991880414637226
02|2003|9|38|2488488.118714747|18.5916097617918
02|2003|10|48|2488488.118714747|22.72658578691018
02|2003|11|35|2488488.118714747|17.123851096387185
02|2003|12|30|2488488.118714747|14.204116116818863
02|2004|1|26|2488820.693367145|12.308588983281528
02|2004|2|46|2488820.693367145|24.10995589307618
02|2004|3|38|2488820.693367145|17.98947620633454
02|2004|4|26|2488820.693367145|12.718875282724245
02|2004|5|44|2488820.693367145|20.82991981786105
02|2004|6|50|2488820.693367145|24.45937554370047
02|2004|7|36|2488820.693367145|17.04266166915904
02|2004|8|34|2488820.693367145|16.095847131983536
02|2004|9|45|2488820.693367145|22.013437989330424
02|2004|10|50|2488820.693367145|23.670363429387557
02|2004|11|42|2488820.693367145|20.545875456708398
02|2004|12|33|2488820.693367145|15.622439863395787
02|2005|1|23|2489152.3531371877|10.886916389120495
02|2005|2|25|2489152.3531371877|13.1014909962242
02|2005|3|36|2489152.3531371877|17.040390869927734
02|2005|4|60|2489152.3531371877|29.347339831542207
02|2005|5|38|2489152.3531371877|17.987079251590384
02|2005|6|25|2489152.3531371877|12.228058263142586
02|2005|7|37|2489152.3531371877|17.513735060759057
02|2005|8|49|2489152.3531371877|23.19386535073497
02|2005|9|40|2489152.3531371877|19.564893221028136
02|2005|10|49|2489152.3531371877|23.19386535073497
02|2005|11|32|2489152.3531371877|15.651914576822511
02|2005|12|23|2489152.3531371877|10.886916389120495
02|2006|1|33|2489484.470348408|15.618274416253616
02|2006|2|29|2489484.470348408|15.195702056506493
02|2006|3|33|2489484.470348408|15.618274416253616
02|2006|4|33|2489484.470348408|16.13888356346207
02|2006|5|39|2489484.470348408|18.457960673754272
02|2006|6|44|2489484.470348408|21.518511417949426
02|2006|7|42|2489484.470348408|19.8778038025046
02|2006|8|51|2489484.470348408|24.137333188755587
02|2006|9|60|2489484.470348408|29.343424660840125
02|2006|10|32|2489484.470348408|15.144993373336838
02|2006|11|31|2489484.470348408|15.160769408100732
02|2006|12|33|2489484.470348408|15.618274416253616
02|2007|1|27|2489816.5875596283|12.776883619919127
02|2007|2|35|2489816.5875596283|18.337194084143192
02|2007|3|46|2489816.5875596283|21.7680239450474
02|2007|4|43|2489816.5875596283|21.02664921648419
02|2007|5|46|2489816.5875596283|21.7680239450474
02|2007|6|45|2489816.5875596283|22.004632900971828
02|2007|7|16|2489816.5875596283|7.5714865895817045
02|2007|8|30|2489816.5875596283|14.196537355465695
02|2007|9|27|2489816.5875596283|13.202779740583098
02|2007|10|18|2489816.5875596283|8.517922413279416
02|2007|11|18|2489816.5875596283|8.801853160388731
02|2007|12|16|2489816.5875596283|7.5714865895817045
02|2008|1|64|2490149.162212026|30.281901484937105
02|2008|2|49|2490149.162212026|25.668643055591215
02|2008|3|62|2490149.162212026|29.33559206353282
02|2008|4|77|2490149.162212026|37.647343148200456
02|2008|5|31|2490149.162212026|14.66779603176641
02|2008|6|74|2490149.162212026|36.18056354502381
02|2008|7|47|2490149.162212026|22.238271403000685
02|2008|8|41|2490149.162212026|19.39934313878783
02|2008|9|83|2490149.162212026|40.580902354553736
02|2008|10|194|2490149.162212026|91.79201387621559
02|2008|11|252|2490149.162212026|123.20948666683783
02|2008|12|116|2490149.162212026|54.8859464414485
02|2009|1|163|2490480.821982069|77.11394713682948
02|2009|2|95|2490480.821982069|49.759109184479144
02|2009|3|119|2490480.821982069|56.297912326887776
02|2009|4|109|2490480.821982069|53.28589516878259
02|2009|5|107|2490480.821982069|50.62081192417641
02|2009|6|78|2490480.821982069|38.13119103821139
02|2009|7|121|2490480.821982069|57.244095727339676
02|2009|8|117|2490480.821982069|55.351728926435875
02|2009|9|129|2490480.821982069|63.06312364011883
02|2009|10|91|2490480.821982069|43.05134472056124
02|2009|11|107|2490480.821982069|52.308172321648954
02|2009|12|264|2490480.821982069|124.8962088596502
02|2010|1|241|3155085.8196598594|89.99831877329117
02|2010|2|139|3155085.8196598594|57.469288025209195
02|2010|3|126|3155085.8196598594|47.05306292711489
02|2010|4|148|3155085.8196598594|57.11096632529183
02|2010|5|129|3155085.8196598594|48.173373949189056
02|2010|6|113|3155085.8196598594|43.604994559175516
02|2010|7|129|3155085.8196598594|48.173373949189056
02|2010|8|137|3155085.8196598594|51.160870008053486
02|2010|9|77|3155085.8196598594|29.713137885455886
02|2010|10|85|3155085.8196598594|31.742145625434645
02|2010|11|94|3155085.8196598594|36.273181314712375
02|2010|12|104|3155085.8196598594|38.83744876523768
02|2011|1|88|3155389.723651896|32.85929157674482
02|2011|2|56|3155389.723651896|23.150864519979308
02|2011|3|77|3155389.723651896|28.75188012965172
02|2011|4|61|3155389.723651896|23.536712261978966
02|2011|5|70|3155389.723651896|26.138072845137927
02|2011|6|83|3155389.723651896|32.02536258597138
02|2011|7|66|3155389.723651896|24.644468682558617
02|2011|8|59|3155389.723651896|22.030661398044824
02|2011|9|60|3155389.723651896|23.150864519979308
02|2011|10|81|3155389.723651896|30.24548429223103
02|2011|11|60|3155389.723651896|23.150864519979308
02|2011|12|48|3155389.723651896|17.92324995095172
02|2012|1|68|3155694.046225672|25.38882213075613
