pop_est|est_date|ent_mun|month|year|day
4963.103524974861|2000.4972677595629|20502|7|2000|1
4963.377713039111|2001.495890410959|20502|7|2001|1
4963.652279276785|2002.495890410959|20502|7|2002|1
4963.926845514458|2003.495890410959|20502|7|2003|1
4964.201789925556|2004.4972677595629|20502|7|2004|1
4964.475977989807|2005.495890410959|20502|7|2005|1
4964.7505442274805|2006.495890410959|20502|7|2006|1
4965.025110465154|2007.495890410959|20502|7|2007|1
4965.300054876252|2008.4972677595629|20502|7|2008|1
4965.574242940502|2009.495890410959|20502|7|2009|1
5514.989023250916|2010.495890410959|20502|7|2010|1
5514.7781541237755|2011.495890410959|20502|7|2011|1
5514.566994556338|2012.4972677595629|20502|7|2012|1
5514.356415869495|2013.495890410959|20502|7|2013|1
5514.145546742356|2014.495890410959|20502|7|2014|1
5513.934677615215|2015.495890410959|20502|7|2015|1
5513.723518047777|2016.4972677595629|20502|7|2016|1
5513.512939360935|2017.495890410959|20502|7|2017|1
5513.302070233795|2018.495890410959|20502|7|2018|1
5513.091201106655|2019.495890410959|20502|7|2019|1
464.98293338276756|2000.4972677595629|20503|7|2000|1
464.9377320895669|2001.495890410959|20503|7|2001|1
464.89246845255906|2002.495890410959|20503|7|2002|1
464.84720481555127|2003.495890410959|20503|7|2003|1
464.80187883473616|2004.4972677595629|20503|7|2004|1
464.75667754153557|2005.495890410959|20503|7|2005|1
464.7114139045277|2006.495890410959|20503|7|2006|1
464.66615026751987|2007.495890410959|20503|7|2007|1
464.62082428670476|2008.4972677595629|20503|7|2008|1
464.57562299350417|2009.495890410959|20503|7|2009|1
374.0013141178481|2010.495890410959|20503|7|2010|1
374.0265590133508|2011.495890410959|20503|7|2011|1
374.05183867987506|2012.4972677595629|20503|7|2012|1
374.07704880435614|2013.495890410959|20503|7|2013|1
374.1022936998588|2014.495890410959|20503|7|2014|1
374.1275385953615|2015.495890410959|20503|7|2015|1
374.1528182618858|2016.4972677595629|20503|7|2016|1
